"Language","original","english","french","russian","german","polish","portuguese","danish","czech","chinesesimp","spanish","fillipino","dutch","swedish",  
"HAB_KILLFEED_METERS"," meters"," meters"," mètres"," Метров"," Meter ","metrów","metros","Meter","metrů","米","metros","Metro",Meter","Meter", 
"HAB_KILLFEED_FISTS"," their fists"," their fists"," leurs poings"," Кулаками", " ihre Fäuste ", "  pięści","seus punhos","Knytnæve","jejich pěsti","他们的拳头","sus puños","Kanilang Kamao","hun vuisten","med knytnäverna", 
"HAB_KILLFEED_SUCIDEPOST"," killed them self", " killed them self"," s'est tué"," Убил Себя", " hat sie selbst getötet", " zabił sam siebie"," matou ele mesmo"," Slog sig selv ihjel"," zabil je sám","杀死他们自己","se suicidó","Nagpakamatay","pleegde zelfmoord","begick självmord",     
"HAB_KILLFEED_SUCIDEHEADING", "Player Suicide", "Player Suicide", "Suicide d'un joueur", "Совершил Самоубийство", "Spieler Sucide", "Samobójstwo","Suicídio do jogador","Begik selvmord","Sebevraždy","玩家自杀","Suicidio de Jugador","Manlalaro Na Nagpakamatay","Speler pleegde zelfmord","Spelare begick självmord", 
"HAB_CHECK_PRESTAT","You're Total","You're Total","Vous êtes total","Ваша статистика", "Sie sind total ", "Posiadasz ogółem ","Suas estatísticas","Du er total","Jsi celkem","你总数","Tu total","Sumatotal","Uw totaal","Din Totala",   
"HAB_CHECK_PREHUMANITY","Your Current Humanity is","Your Current Humanity is","Votre humanité actuelle est","Ваша репутация", "Ihre gegenwärtige Menschlichkeit ist", "Twoja humanitarność wynosi","Sua humanidade atual é","Din menneskelige effekt er","Vaše současné lidstvo je",你当前的人性是","Tu humanidad actual es ","Kasalukuyang Pagkatao","Je huidige menselijkheid is","Din nuvarande mänsklighet är",  
"HAB_CHECK_NOTFOUND","Can't find stat","Can't find stat","Impossible de trouver la statistique","Отсутствует Статистика", "Kann keine Statistik finden", "Nie można znaleźć statystyk","Não foi possível encontrar suas estatísticas","Kan ikke finde statistik","Nelze najít stat","找不到统计","No se encuentra estadística","Hindi Makita ang estado","Kan status niet vinden","kan inte hitta stat",  
"HAB_CHECK_IS","is","is","est","is","ist","równe","é","Er","je","是","es","Ay","is","är", 
"HAB_LEVEL","Level","Level","Niveau","Уровень","Stufe","Level","Nível","Niveau","Úroveň","水平","nivel","Level","Level", "Level",  
"HAB_PLAYERKILLS","Player Kills","Player Kills","Joueur tués","Убито игроков","Getötete Spieler","Zabici Gracze","Abates de jogadores","Dræbte spillere","Zabito Hráčů","玩家杀死","Jugadores Muertos","Mga Napatay","aantal spelers gedood","Antal spelare dödad", 
"HAB_ZOMBIEKILLS","Zombie Kills","Zombie Kills","Zombie tués","Убито зомби","Getötete Zombies","Zabite Zombie","Zumbis mortos","Dræbte zombier","Zabito Zmobie","僵尸杀","Zombies Muertos","Napatay Na Aswang","Zombies gedood","Zombies dödade", 
"HAB_RAID","Raid Actions","Raid Actions","Actions de raid","Рейды","Raid-Aktionen","Akcje Najazdu","Ações de raid","Raid handlinger","Nájezdové akce","突袭行动","Asaltos","Paglilipon","Overvalacties","Räd handlingar", 
"HAB_SUCIDES","Suicides","Suicides","Suicides","Самоубийства","Selbstmorde","Samobójstwa","Suicídios","tilhørsforhold","Počet Sebevražd","自杀","Suicidios","Nagpakamatay","zelfmoorden","Självmord", 
"HAB_AFFINITY","Affinity","Affinity","Affinité","Ранг","Affinität","Ranga","Afinidade","Helte og Banditer","Afinita","亲和力","Afinidad","Pagkakaugnay","verwantschap","samhörighet", 
"HAB_HERO","Hero","Hero","Héros","Герой","Hero","Bohater","Herói","Helte","Hrdina","英雄","Héroe","Bayani","Held","Hjälte", 
"HAB_BANDIT","Bandit","Bandit","Bandit","Бандит","Bandit","Bandyta","Bandido","Bandit","Bandita","土匪","Bandidos","Bandido","Bandiet","Bandit", 
"HAB_BAMBI","Bambi","Bambi","Bambi","бамби","Bambi","Bambi","Bambi","Bambi","Bambi","小鹿斑比","Bambi","Bagong Salta","veldarts","fältmedicin", 
"HAB_MEDIC","Medic","Medic","Medic","Medic","Medic","Medic","Médico","Medic","Medic","军医","Médico","Manggagamot","veldarts acties","fältmedicinaktioner", 
"HAB_MEDIC_ACTIONS","Medic Actions","Medic Actions","Actions du Medic","медицинская помощь","Medizinische Aktionen","Akcje Medyczne","Ações médicas","Medicinsk Behandling","Lékařské akce","军医行动","Acciones Médicas","Ginawa Ng Manggagamot","Jager","Jägare", 
"HAB_HUNTER","Hunter","Hunter","Chasseur","Oхотник","Jäger","Myśliwy","Caçador","Jæger","Lovec","猎人","Cazador","Hunter","dieren gedood","dödade djur",
"HAB_HUNTS","Animal Kills","Animal Kills","Animaux tués","Убийство Животных","Getötete Tiere","Zabite Zwierzęta","Animais mortos","Dræbte Dyre","Zabito Zvířat","杀死动物","Muertes de Animales","Napatay Na Hayop","Nieuwe speler","ny karaktär", 
"HAB_BLANK","","","","","","","","","","","","","","", 
"STR_HAB_AFFINITY","Affinity","Affinity","Affinité","Ранг","Affinität","Ranga","Afinidade","Helte og Banditer","Afinita","亲和力","Afinidad","Pagkakaugnay","verwantschap","samhörighet", 
"STR_HAB_HUMANITY","Humanity","Humanity","Humanité","Репутация","Menschlichkeit","Humanitarność","Humanidade","Menneskelighed","Lidstvo","人性","Humanidad","Sangkatauhan","De Mensheid","Mänskligheten", 
"STR_HAB_HERO","Hero","Hero","Héros","Герой","Hero","Bohater","Herói","Helte","Hrdina","英雄","Héroe","Bayani","Held","Hjälte", 
"STR_HAB_BANDIT","Bandit","Bandit","Bandit","Бандит","Bandit","Bandyta","Bandido","Bandit","Bandita","土匪","Bandidos","Bandido","Bandiet","Bandit", 
"STR_HAB_BAMBI","Bambi","Bambi","Bambi","бамби","Bambi","Bambi","Bambi","Bambi","Bambi","小鹿斑比","Bambi","Bagong Salta","veldarts","fältmedicin", 
"HAB_DEATHS","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths", 
"HAB_STATS","STATS","STATS","STATS","СТАТИСТИКА","STATISTIKEN","STATYSTYKI","ESTATÍSTICAS","STATISTIK","STATISTIKY","统计","ESTADÍSTICAS","ESTADISTIKA","STATISTIEKEN","STATISTIK", 
"HAB_LEADERBOARDS","LEADERBOARDS","LEADERBOARDS","CLASSEMENTS","ЛИДЕРЫ","BESTENLISTEN","RANKINGI","CLASSIFICAÇÕES","RANGLISTER","ŽEBŘÍČKY","排行榜","TABLAS","RANGGO","RANGLIJSTEN","TOPPLISTOR", 
"HAB_INFO","INFO","INFO","INFO","ИНФО","INFO","INFO","INFO","INFO","INFO","信息","INFO","IMPORMASYON","INFO","INFO", 
"HAB_STATISTICS","STATISTICS","STATISTICS","STATISTIQUES","СТАТИСТИКА","STATISTIKEN","STATYSTYKI","ESTATÍSTICAS","STATISTIK","STATISTIKY","统计数据","ESTADÍSTICAS","ESTADISTIKA","STATISTIEKEN","STATISTIK", 
"HAB_HEROES","HEROES","HEROES","HÉROS","ГЕРОИ","HELDEN","BOHATEROWIE","HERÓIS","HELTE","HRDINOVÉ","英雄","HÉROES","MGA BAYANI","HELDEN","HJÄLTAR", 
"HAB_BANDITS","BANDITS","BANDITS","BANDITS","БАНДИТЫ","BANDITEN","BANDYCI","BANDIDOS","BANDITTER","BANDITÉ","强盗","BANDIDOS","MGA BANDIDO","BANDIETEN","BANDITER", 
"HAB_SERVER_INFO","SERVER INFO","SERVER INFO","INFO SERVEUR","ИНФОРМАЦИЯ О СЕРВЕРЕ","SERVER INFO","INFO SERWERA","INFO DO SERVIDOR","SERVER INFO","INFO SERVERU","服务器信息","INFO DEL SERVIDOR","IMPORMASYON NG SERVER","SERVER INFO","SERVERINFO", 
"HAB_DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD", 
"HAB_PATH","Path","Path","Chemin","Путь","Pfad","Ścieżka","Caminho","Sti","Cesta","路径","Camino","Landas","Pad","Väg", 
"HAB_PATH_HERO","Hero Path","Hero Path","Chemin du Héros","Путь Героя","Helden-Pfad","Ścieżka Bohatera","Caminho do Herói","Heltesti","Cesta Hrdiny","英雄之路","Camino del Héroe","Landas ng Bayani","Heldenpad","Hjälteväg", 
"HAB_PATH_BANDIT","Bandit Path","Bandit Path","Chemin du Bandit","Путь Бандита","Banditen-Pfad","Ścieżka Bandyty","Caminho do Bandido","Banditsti","Cesta Bandity","强盗之路","Camino del Bandido","Landas ng Bandido","Bandietenpad","Banditväg", 
"HAB_PATH_NONE","No path chosen","No path chosen","Aucun chemin choisi","Путь не выбран","Kein Pfad gewählt","Brak wybranej ścieżki","Nenhum caminho escolhido","Ingen sti valgt","Žádná cesta nevybrána","未选择路径","Sin camino elegido","Walang landas na napili","Geen pad gekozen","Ingen väg vald", 
"HAB_PATH_CONNECT_DISCORD","Connect Discord to choose","Connect Discord to choose","Connectez Discord pour choisir","Подключите Discord для выбора","Discord verbinden zum Wählen","Połącz Discord aby wybrać","Conecte Discord para escolher","Forbind Discord for at vælge","Připojte Discord pro výběr","连接Discord以选择","Conecta Discord para elegir","Ikonekta ang Discord para pumili","Verbind Discord om te kiezen","Anslut Discord för att välja", 
"HAB_PATH_CLICK_DISCORD","Click to join Discord","Click to join Discord","Cliquez pour rejoindre Discord","Нажмите чтобы присоединиться к Discord","Klicken um Discord beizutreten","Kliknij aby dołączyć do Discord","Clique para entrar no Discord","Klik for at deltage i Discord","Klikněte pro připojení k Discordu","点击加入Discord","Haz clic para unirte a Discord","I-click para sumali sa Discord","Klik om lid te worden van Discord","Klicka för att gå med i Discord", 
"HAB_PATH_CLICK_CHOOSE","Click to choose your path","Click to choose your path","Cliquez pour choisir votre chemin","Нажмите чтобы выбрать путь","Klicken um Pfad zu wählen","Kliknij aby wybrać ścieżkę","Clique para escolher seu caminho","Klik for at vælge din sti","Klikněte pro výběr cesty","点击选择你的路径","Haz clic para elegir tu camino","I-click para pumili ng landas","Klik om je pad te kiezen","Klicka för att välja din väg", 
"HAB_PATH_DESC","Choose your path on Discord to guide your journey. Your path affects how certain actions impact your humanity.","Choose your path on Discord to guide your journey. Your path affects how certain actions impact your humanity.","Choisissez votre chemin sur Discord. Votre chemin affecte comment certaines actions impactent votre humanité.","Выберите свой путь в Discord. Ваш путь влияет на то, как действия влияют на человечность.","Wähle deinen Pfad auf Discord. Dein Pfad beeinflusst wie Aktionen deine Menschlichkeit beeinflussen.","Wybierz ścieżkę na Discord. Twoja ścieżka wpływa na to jak akcje wpływają na humanitarność.","Escolha seu caminho no Discord. Seu caminho afeta como certas ações impactam sua humanidade.","Vælg din sti på Discord. Din sti påvirker hvordan handlinger påvirker din menneskelighed.","Vyberte si cestu na Discordu. Vaše cesta ovlivňuje jak akce ovlivňují vaše lidství.","在Discord上选择你的路径。你的路径会影响某些行动对你人性的影响。","Elige tu camino en Discord. Tu camino afecta cómo ciertas acciones impactan tu humanidad.","Piliin ang iyong landas sa Discord. Ang iyong landas ay nakakaapekto sa kung paano nakakaapekto ang mga aksyon sa iyong sangkatauhan.","Kies je pad op Discord. Je pad beïnvloedt hoe acties je menselijkheid beïnvloeden.","Välj din väg på Discord. Din väg påverkar hur handlingar påverkar din mänsklighet.", 
"HAB_PATH_DESC_CONNECT","Link your Discord account to choose a path and unlock path-specific bonuses for your journey.","Link your Discord account to choose a path and unlock path-specific bonuses for your journey.","Liez votre compte Discord pour choisir un chemin et débloquer des bonus spécifiques.","Свяжите свой Discord чтобы выбрать путь и разблокировать бонусы.","Verknüpfe Discord um einen Pfad zu wählen und Boni freizuschalten.","Połącz Discord aby wybrać ścieżkę i odblokować bonusy.","Vincule seu Discord para escolher um caminho e desbloquear bônus.","Forbind Discord for at vælge en sti og låse bonusser op.","Propojte Discord pro výběr cesty a odemknutí bonusů.","连接Discord以选择路径并解锁奖励。","Vincula tu Discord para elegir un camino y desbloquear bonificaciones.","I-link ang iyong Discord para pumili ng landas at i-unlock ang mga bonus.","Koppel je Discord om een pad te kiezen en bonussen te ontgrendelen.","Länka Discord för att välja en väg och låsa upp bonusar.", 
"HAB_PATH_JOIN_DISCORD","Join Discord to choose","Join Discord to choose","Rejoindre Discord","Присоединиться к Discord","Discord beitreten","Dołącz do Discord","Entrar no Discord","Deltag i Discord","Připojit se k Discordu","加入Discord选择","Únete a Discord","Sumali sa Discord","Lid worden van Discord","Gå med i Discord", 
